1,1,0,118,118,-1
1,2,0,236,236,-1
1,2,146,118,264,-1
1,11,0,1298,1298,-1
1,17,0,2006,2006,-1
1,32,9535,354,9889,-1
1,70,20783,826,21609,-1
1,84,25186,944,26130,-1
1,193,57837,2124,59961,-1
1,232,0,27376,27376,-1
1,353,103830,4602,108432,-1
1,500,150614,5192,155806,-1
2,612,182156,7080,189236,-1
1,2128,0,251104,251104,-1
1,2201,0,259718,259718,-1
1,3087,0,364266,364266,-1
1,16757,4753739,265028,5018767,-1
1,18632,5201046,249098,5450144,-1
1,19158,5350764,255824,5606588,-1
1,5,92,404,496,1
1,6,0,708,708,1
1,6,132,668,800,1
1,8,1481,443,1924,1
1,8,1530,440,1970,1
1,8,172,621,793,1
1,9,172,1039,1211,1
1,9,132,1861,1993,1
1,9,1356,478,1834,1
1,9,3709,503,4212,1
1,9,753,480,1233,1
1,9,1573,492,2065,1
1,10,625,824,1449,1
1,10,367,746,1113,1
1,10,439,639,1078,1
1,10,615,1865,2480,1
1,10,381,1604,1985,1
1,10,1263,555,1818,1
1,10,1485,540,2025,1
1,10,1276,555,1831,1
1,10,753,532,1285,1
1,10,753,533,1286,1
1,10,1267,555,1822,1
1,10,753,532,1285,1
1,10,1267,556,1823,1
1,10,1233,565,1798,1
1,10,1277,555,1832,1
1,10,753,532,1285,1
1,10,753,532,1285,1
1,10,1238,553,1791,1
1,10,1511,540,2051,1
1,10,685,972,1657,1
1,10,729,714,1443,1
1,10,1080,1695,2775,1
1,10,588,733,1321,1
1,11,403,808,1211,1
1,11,520,904,1424,1
1,12,641,612,1253,1
1,12,641,612,1253,1
1,12,643,1644,2287,1
1,12,643,1876,2519,1
2,12,288,890,1178,1
1,12,1325,607,1932,1
1,12,1309,604,1913,1
1,12,813,584,1397,1
1,13,1290,1375,2665,1
1,13,2803,482,3285,1
1,13,1490,1147,2637,1
2,14,844,1236,2080,1
1,14,4070,659,4729,1
1,14,3920,658,4578,1
1,15,728,841,1569,1
1,15,5364,1226,6590,1
1,16,507,3501,4008,1
2,16,2431,1018,3449,1
1,16,4762,708,5470,1
1,17,5737,1003,6740,1
1,17,587,2917,3504,1
1,17,1223,1514,2737,1
1,18,4835,763,5598,1
1,19,8679,719,9398,1
1,19,6882,630,7512,1
2,19,2877,1017,3894,1
2,20,3093,1134,4227,1
2,20,3082,1112,4194,1
1,23,11027,1130,12157,1
2,23,3987,1203,5190,1
1,26,8127,1376,9503,1
2,28,11474,1397,12871,1
1,30,19876,2044,21920,1
2,32,1289,5267,6556,1
2,32,4850,2977,7827,1
1,43,2250,9629,11879,1
2,46,19559,2272,21831,1
3,58,27532,2720,30252,1
5,67,20096,7172,27268,1
6,73,16978,3655,20633,1
1,113,95755,3771,99526,1
5,120,20427,32793,53220,1
2,188,152258,14137,166395,1
3,210,74433,59194,133627,1
